thi  ths  tho  thp  weight      mises      stiff_y        stiff_z
3    3    4    2    0.175107    219.284    5.17721e+07    5.05425e+07    
3    3    4    3    0.186526    224.194    5.69189e+07    5.37476e+07    
3    3    4    4    0.208847    219.959    5.90075e+07    5.59623e+07    
3    3    4    5    0.220972    233.09    6.03599e+07    5.75705e+07    
3    3    4    6    0.234074    211.268    6.13702e+07    5.90232e+07    
3    3    5    2    0.182714    215.276    5.46182e+07    5.40302e+07    
3    3    5    3    0.194133    219.8    6.14914e+07    5.75244e+07    
3    3    5    4    0.216454    215.497    6.38761e+07    5.98538e+07    
3    3    5    5    0.228579    228.244    6.54547e+07    6.15957e+07    
3    3    5    6    0.241681    206.827    6.65838e+07    6.31381e+07    
3    3    6    2    0.190332    211.856    5.71557e+07    5.71942e+07    
3    3    6    3    0.201751    216.065    6.50899e+07    6.09359e+07    
3    3    6    4    0.224072    211.718    6.82637e+07    6.33983e+07    
3    3    6    5    0.236197    224.164    7.00111e+07    6.52326e+07    
3    3    6    6    0.249299    203.035    7.12858e+07    6.68681e+07    
3    3    7    2    0.197962    208.864    5.94338e+07    6.00869e+07    
3    3    7    3    0.209381    212.78    6.78733e+07    6.40558e+07    
3    3    7    4    0.231702    208.37    7.22707e+07    6.66441e+07    
3    3    7    5    0.243826    220.505    7.419e+07    6.85786e+07    
3    3    7    6    0.256929    199.674    7.55946e+07    7.02959e+07    
3    3    8    2    0.205602    206.118    6.15631e+07    6.28056e+07    
3    3    8    3    0.217021    209.781    7.0456e+07    6.69774e+07    
3    3    8    4    0.239342    205.352    7.5995e+07    6.96954e+07    
3    3    8    5    0.251467    217.199    7.80712e+07    7.17016e+07    
3    3    8    6    0.264569    196.635    7.9592e+07    7.34852e+07    
3    3    9    2    0.213254    203.556    6.35671e+07    6.5382e+07    
3    3    9    3    0.224673    206.995    7.28816e+07    6.97427e+07    
3    3    9    4    0.246994    202.506    7.92928e+07    7.2576e+07    
3    3    9    5    0.259118    214.088    8.1758e+07    7.46885e+07    
3    3    9    6    0.272221    193.798    8.33776e+07    7.6522e+07    
3    3    10    2    0.220916    201.083    6.55086e+07    6.78919e+07    
3    3    10    3    0.232335    204.303    7.52605e+07    7.2464e+07    
3    3    10    4    0.254656    199.752    8.19606e+07    7.53898e+07    
3    3    10    5    0.266781    211.152    8.53071e+07    7.75883e+07    
3    3    10    6    0.279883    191.07    8.70452e+07    7.95078e+07    
3    4    4    2    0.181637    217.677    5.24041e+07    5.4931e+07    
3    4    4    3    0.193015    222.613    5.93982e+07    5.83539e+07    
3    4    4    4    0.215293    218.4    6.19886e+07    6.06825e+07    
3    4    4    5    0.227371    231.443    6.35015e+07    6.23516e+07    
3    4    4    6    0.240425    209.768    6.46498e+07    6.37877e+07    
3    4    5    2    0.189244    213.767    5.52321e+07    5.87457e+07    
3    4    5    3    0.200622    218.328    6.28116e+07    6.24557e+07    
3    4    5    4    0.2229    214.052    6.70088e+07    6.49405e+07    
3    4    5    5    0.234978    226.72    6.87566e+07    6.67521e+07    
3    4    5    6    0.248032    205.438    7.00253e+07    6.82772e+07    
3    4    6    2    0.196862    210.424    5.77532e+07    6.22054e+07    
3    4    6    3    0.20824    214.677    6.58729e+07    6.61824e+07    
3    4    6    4    0.230518    210.361    7.1445e+07    6.88145e+07    
3    4    6    5    0.242596    222.734    7.34573e+07    7.0729e+07    
3    4    6    6    0.25565    201.734    7.48794e+07    7.2347e+07    
3    4    7    2    0.204491    207.494    6.00219e+07    6.53746e+07    
3    4    7    3    0.21587    211.461    6.86429e+07    6.95939e+07    
3    4    7    4    0.238147    207.085    7.45506e+07    7.23653e+07    
3    4    7    5    0.250225    219.153    7.77781e+07    7.43873e+07    
3    4    7    6    0.26328    198.444    7.93319e+07    7.60891e+07    
3    4    8    2    0.212131    204.802    6.21408e+07    6.83531e+07    
3    4    8    3    0.22351    208.521    7.12129e+07    7.27918e+07    
3    4    8    4    0.245787    204.128    7.74411e+07    7.57026e+07    
3    4    8    5    0.257866    215.912    8.17944e+07    7.78074e+07    
3    4    8    6    0.27092    195.465    8.34674e+07    7.95727e+07    
3    4    9    2    0.219783    202.291    6.4135e+07    7.10581e+07    
3    4    9    3    0.231162    205.787    7.36281e+07    7.58167e+07    
3    4    9    4    0.253439    201.336    8.01629e+07    7.88552e+07    
3    4    9    5    0.265517    212.862    8.48844e+07    8.10647e+07    
3    4    9    6    0.278572    192.681    8.73861e+07    8.28904e+07    
3    4    10    2    0.227446    199.858    6.60697e+07    7.27547e+07    
3    4    10    3    0.238824    203.142    7.59988e+07    7.87982e+07    
3    4    10    4    0.261102    198.633    8.28179e+07    8.1936e+07    
3    4    10    5    0.27318    209.978    8.77497e+07    8.42388e+07    
3    4    10    6    0.286235    190.002    9.11872e+07    8.61523e+07    
3    5    4    2    0.188556    215.614    5.32089e+07    5.93024e+07    
3    5    4    3    0.199934    220.573    6.04488e+07    6.30919e+07    
3    5    4    4    0.222211    216.399    6.513e+07    6.55581e+07    
3    5    4    5    0.234289    229.34    6.67997e+07    6.73459e+07    
3    5    4    6    0.247345    207.859    6.80697e+07    6.87982e+07    
3    5    5    2    0.196163    211.814    5.60094e+07    6.33949e+07    
3    5    5    3    0.207541    216.406    6.38349e+07    6.75134e+07    
3    5    5    4    0.229818    212.176    6.92295e+07    7.0148e+07    
3    5    5    5    0.241896    224.751    7.21954e+07    7.20887e+07    
3    5    5    6    0.254952    203.651    7.35863e+07    7.36294e+07    
3    5    6    2    0.203781    208.558    5.85145e+07    6.66447e+07    
3    5    6    3    0.215159    212.852    6.68745e+07    7.15303e+07    
3    5    6    4    0.237436    208.582    7.26259e+07    7.43247e+07    
3    5    6    5    0.249514    220.87    7.67795e+07    7.63763e+07    
3    5    6    6    0.262571    200.045    7.85737e+07    7.80097e+07    
3    5    7    2    0.21141    205.7    6.07659e+07    6.85501e+07    
3    5    7    3    0.222788    209.715    6.96238e+07    7.52053e+07    
3    5    7    4    0.245065    205.388    7.5712e+07    7.81557e+07    
3    5    7    5    0.257143    217.377    8.01152e+07    8.03174e+07    
3    5    7    6    0.2702    196.837    8.31517e+07    8.20401e+07    
3    5    8    2    0.219051    203.072    6.28707e+07    7.03225e+07    
3    5    8    3    0.230429    206.845    7.21801e+07    7.86549e+07    
3    5    8    4    0.252706    202.501    7.85867e+07    8.1757e+07    
3    5    8    5    0.264784    214.214    8.32078e+07    8.4007e+07    
3    5    8    6    0.27784    193.93    8.67622e+07    8.57907e+07    
3    5    9    2    0.226702    200.615    6.48543e+07    7.19652e+07    
3    5    9    3    0.23808    204.174    7.45828e+07    8.11129e+07    
3    5    9    4    0.260357    199.774    8.12942e+07    8.5159e+07    
3    5    9    5    0.272435    211.234    8.61609e+07    8.75209e+07    
3    5    9    6    0.285492    191.21    8.98738e+07    8.93654e+07    
3    5    10    2    0.234365    198.234    6.67782e+07    7.36417e+07    
3    5    10    3    0.245743    201.586    7.69414e+07    8.30276e+07    
3    5    10    4    0.26802    197.131    8.3937e+07    8.84856e+07    
3    5    10    5    0.280098    208.415    8.90138e+07    9.09487e+07    
3    5    10    6    0.293155    188.59    9.29062e+07    9.28806e+07    
3    6    4    2    0.195491    213.105    5.41334e+07    6.17754e+07    
3    6    4    3    0.206868    218.067    6.16708e+07    6.77874e+07    
3    6    4    4    0.229144    213.946    6.6908e+07    7.05265e+07    
3    6    4    5    0.241222    226.752    7.01568e+07    7.24846e+07    
3    6    4    6    0.254281    205.498    7.15618e+07    7.4033e+07    
3    6    5    2    0.203098    209.42    5.69115e+07    6.54034e+07    
3    6    5    3    0.214475    214.032    6.50262e+07    7.2476e+07    
3    6    5    4    0.236751    209.858    7.06567e+07    7.54046e+07    
3    6    5    5    0.248829    222.309    7.47338e+07    7.75245e+07    
3    6    5    6    0.261888    201.427    7.7201e+07    7.91663e+07    
3    6    6    2    0.210716    206.262    5.93932e+07    6.78126e+07    
3    6    6    3    0.222093    210.585    6.80426e+07    7.64845e+07    
3    6    6    4    0.244369    206.374    7.40276e+07    7.9842e+07    
3    6    6    5    0.256447    218.548    7.83609e+07    8.20835e+07    
3    6    6    6    0.269506    197.931    8.17144e+07    8.38216e+07    
3    6    7    2    0.218345    203.484    6.16281e+07    6.9683e+07    
3    6    7    3    0.229722    207.539    7.07723e+07    7.86545e+07    
3    6    7    4    0.251998    203.273    7.70937e+07    8.39162e+07    
3    6    7    5    0.264076    215.159    8.1675e+07    8.6273e+07    
3    6    7    6    0.277135    194.819    8.52122e+07    8.81048e+07    
3    6    8    2    0.225985    200.927    6.37183e+07    7.14179e+07    
3    6    8    3    0.237363    204.749    7.33104e+07    8.06514e+07    
3    6    8    4    0.259639    200.468    7.99508e+07    8.68337e+07    
3    6    8    5    0.271716    212.085    8.4749e+07    9.01978e+07    
3    6    8    6    0.284775    191.994    8.8465e+07    9.20942e+07    
3    6    9    2    0.233637    198.533    6.56862e+07    7.30426e+07    
3    6    9    3    0.245014    202.149    7.56988e+07    8.25319e+07    
3    6    9    4    0.26729    197.815    8.26421e+07    8.88657e+07    
3    6    9    5    0.279368    209.187    8.76863e+07    9.33551e+07    
3    6    9    6    0.292427    189.349    9.15589e+07    9.58958e+07    
3    6    10    2    0.2413    196.212    6.7598e+07    7.46975e+07    
3    6    10    3    0.252677    199.628    7.80439e+07    8.44198e+07    
3    6    10    4    0.274953    195.241    8.5272e+07    9.09013e+07    
3    6    10    5    0.287031    206.441    9.05245e+07    9.55039e+07    
3    6    10    6    0.30009    186.8    9.45776e+07    9.91013e+07    
3    7    4    2    0.20244    210.208    5.51537e+07    6.3182e+07    
3    7    4    3    0.213817    215.136    6.30427e+07    7.04852e+07    
3    7    4    4    0.236092    211.082    6.85527e+07    7.54403e+07    
3    7    4    5    0.24817    223.72    7.25442e+07    7.76599e+07    
3    7    4    6    0.261231    202.724    7.51937e+07    7.93799e+07    
3    7    5    2    0.210047    206.649    5.79039e+07    6.67583e+07    
3    7    5    3    0.221424    211.241    6.63665e+07    7.48951e+07    
3    7    5    4    0.243699    207.139    7.22683e+07    8.03471e+07    
3    7    5    5    0.255777    219.439    7.65702e+07    8.29467e+07    
3    7    5    6    0.268838    198.802    7.98881e+07    8.47702e+07    
3    7    6    2    0.217665    203.595    6.03622e+07    6.90759e+07    
3    7    6    3    0.229042    207.91    6.93578e+07    7.81841e+07    
3    7    6    4    0.251317    203.776    7.56118e+07    8.43519e+07    
3    7    6    5    0.263395    215.807    8.01714e+07    8.77321e+07    
3    7    6    6    0.276456    195.43    8.37055e+07    8.96568e+07    
3    7    7    2    0.225295    200.905    6.25763e+07    7.09073e+07    
3    7    7    3    0.236671    204.963    7.20657e+07    8.0306e+07    
3    7    7    4    0.258947    200.778    7.86553e+07    8.66693e+07    
